ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_1_2         , 	582.434		, 	 288.94		, 	3.35882	,	[217, 540.5]
ROI_1_7         , 	530.577		, 	407.399		, 	4.67089	,	[31.5344, 529.639]
ROI_1_12        , 	799.255		, 	336.474		, 	1.41422	,	[611.754, 514.359]
ROI_1_14        , 	538.469		, 	289.238		, 	4.09764	,	[173.097, 509.889]
ROI_1_31        , 	 607.48		, 	162.343		, 	1.65429	,	[415.912, 442.774]
ROI_1_35        , 	573.294		, 	145.084		, 	1.68515	,	[374, 434.5]
ROI_1_36        , 	529.999		, 	155.995		, 	1.90171	,	[303.03, 434.824]
ROI_1_38        , 	540.482		, 	145.859		, 	2.471	,	[325.501, 431.474]
ROI_1_49        , 	806.817		, 	357.034		, 	2.03772	,	[700.647, 400.059]
ROI_1_67        , 	473.477		, 	 83.649		, 	1.92744	,	[310.971, 357.039]
ROI_1_110       , 	783.951		, 	363.688		, 	1.93107	,	[724.569, 299.296]
ROI_1_146       , 	501.862		, 	92.6444		, 	1.73447	,	[439.935, 241.5]
ROI_1_147       , 	 385.13		, 	77.9872		, 	2.11391	,	[302, 239]
ROI_1_160       , 	687.329		, 	298.212		, 	7.53385	,	[651, 220.5]
ROI_1_175       , 	518.648		, 	156.023		, 	1.59846	,	[482, 191.5]
ROI_1_178       , 	192.778		, 	314.194		, 	1.29039	,	[66.3139, 181.013]
ROI_1_182       , 	336.514		, 	139.789		, 	1.83456	,	[291, 169]
ROI_1_187       , 	451.739		, 	141.126		, 	1.58703	,	[421.5, 162.5]
ROI_1_203       , 	667.309		, 	332.278		, 	3.61998	,	[653.901, 133.1]
ROI_1_214       , 	315.777		, 	 190.16		, 	2.06555	,	[295.436, 111.5]
ROI_1_228       , 	156.576		, 	309.887		, 	1.92885	,	[136.926, 75.9412]
ROI_1_235       , 	296.356		, 	257.521		, 	2.65737	,	[293.436, 41.5]
ROI_1_238       , 	401.753		, 	277.509		, 	3.8091	,	[401.456, 15.4558]

ROI_2_3         , 	557.847		, 	367.259		, 	5.4798	,	[100.366, 548.744]
ROI_2_6         , 	541.612		, 	 409.13		, 	4.15467	,	[37.3847, 540.32]
ROI_2_7         , 	725.393		, 	276.265		, 	1.68319	,	[491.5, 533.5]
ROI_2_15        , 	549.896		, 	293.204		, 	2.50058	,	[179.059, 519.926]
ROI_2_21        , 	519.863		, 	303.011		, 	2.99524	,	[142.511, 499.948]
ROI_2_23        , 	 497.45		, 	354.524		, 	8.95933	,	[70, 492.5]
ROI_2_37        , 	541.585		, 	163.385		, 	1.91984	,	[308.899, 444.855]
ROI_2_68        , 	484.552		, 	 88.958		, 	1.2267	,	[316.414, 366.978]
ROI_2_91        , 	754.555		, 	319.337		, 	1.66923	,	[677.553, 332.079]
ROI_2_114       , 	792.317		, 	369.244		, 	2.06115	,	[729.779, 308.527]
ROI_2_140       , 	 511.24		, 	92.4343		, 	1.73211	,	[445.064, 251.564]
ROI_2_141       , 	396.062		, 	67.0075		, 	1.48888	,	[308, 249]
ROI_2_144       , 	387.979		, 	75.3849		, 	1.35227	,	[298.527, 247.809]
ROI_2_178       , 	204.449		, 	305.477		, 	1.21402	,	[71.8737, 191.399]
ROI_2_200       , 	673.637		, 	 332.28		, 	4.93497	,	[658.5, 142]
ROI_2_224       , 	422.815		, 	201.288		, 	2.16194	,	[411.943, 95.2652]
ROI_2_229       , 	590.427		, 	319.987		, 	1.40659	,	[587.005, 63.4751]

ROI_3_5         , 	550.917		, 	411.136		, 	3.88169	,	[41.9586, 549.317]
ROI_3_10        , 	818.455		, 	355.891		, 	1.45349	,	[622.201, 531.728]
ROI_3_13        , 	559.557		, 	297.831		, 	3.50249	,	[183, 528.787]
ROI_3_28        , 	627.466		, 	182.695		, 	2.00503	,	[425.912, 460.774]
ROI_3_34        , 	562.488		, 	162.146		, 	1.87159	,	[337, 450.36]
