ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_1_0         , 	724.917		, 	288.476		, 	1.37493	,	[458.5, 561.5]
ROI_1_4         , 	652.513		, 	263.418		, 	1.02904	,	[346.343, 553.01]
ROI_1_5         , 	 663.08		, 	260.662		, 	1.6438	,	[369.599, 550.52]
ROI_1_6         , 	542.015		, 	392.935		, 	6.59325	,	[57.0352, 539.005]
ROI_1_22        , 	593.018		, 	185.619		, 	1.45084	,	[354.359, 475.5]
ROI_1_70        , 	490.168		, 	70.3147		, 	1.85121	,	[336.887, 356.051]
ROI_1_95        , 	610.167		, 	165.045		, 	1.12881	,	[524.631, 311.553]
ROI_1_103       , 	319.888		, 	249.187		, 	4.01419	,	[112, 299.64]
ROI_1_107       , 	436.652		, 	34.9701		, 	1.83858	,	[326.033, 290.461]
ROI_1_124       , 	 664.62		, 	253.528		, 	1.5429	,	[612.5, 258]
ROI_1_153       , 	648.777		, 	287.883		, 	1.48719	,	[624.802, 174.74]
ROI_1_166       , 	431.455		, 	164.602		, 	3.44478	,	[410.444, 133]
ROI_1_182       , 	304.499		, 	217.714		, 	1.65042	,	[292.91, 83.2073]

ROI_2_2         , 	662.205		, 	272.148		, 	1.24211	,	[350.343, 561.939]
ROI_2_3         , 	672.716		, 	 269.55		, 	1.20141	,	[373.892, 559.242]
ROI_2_8         , 	840.513		, 	377.608		, 	1.8839	,	[664.178, 515.102]
ROI_2_17        , 	 601.98		, 	193.705		, 	1.82424	,	[358.366, 483.688]
ROI_2_53        , 	611.443		, 	149.114		, 	1.4397	,	[487.082, 369.613]
ROI_2_54        , 	732.334		, 	283.222		, 	1.33383	,	[633.377, 367.623]
ROI_2_56        , 	 499.02		, 	77.3268		, 	1.73559	,	[340.701, 364.615]
ROI_2_73        , 	618.127		, 	170.671		, 	1.23781	,	[529.082, 319.613]
ROI_2_92        , 	288.119		, 	330.519		, 	4.80987	,	[30.5, 286.5]
ROI_2_100       , 	747.425		, 	340.154		, 	5.70098	,	[700, 262]
ROI_2_125       , 	655.112		, 	 288.33		, 	1.42558	,	[628.91, 183.424]
ROI_2_139       , 	444.942		, 	164.158		, 	2.33857	,	[423, 138]
ROI_2_143       , 	705.454		, 	374.322		, 	1.68397	,	[695, 121]
ROI_2_151       , 	464.589		, 	201.917		, 	3.53155	,	[451.5, 109.5]
ROI_2_152       , 	503.014		, 	226.689		, 	3.51825	,	[491.943, 104.955]
ROI_2_167       , 	612.395		, 	342.012		, 	2.19848	,	[609.883, 55.416]

ROI_3_0         , 	670.019		, 	278.731		, 	1.26161	,	[354.345, 568.652]
ROI_3_1         , 	 681.17		, 	 277.23		, 	1.09814	,	[377.928, 566.713]
ROI_3_2         , 	558.947		, 	397.428		, 	1.61991	,	[64.9601, 555.16]
ROI_3_5         , 	847.903		, 	384.939		, 	1.68267	,	[668.133, 522.052]
ROI_3_14        , 	610.568		, 	 201.46		, 	1.27028	,	[362.304, 491.456]
ROI_3_55        , 	619.344		, 	156.704		, 	1.24205	,	[491, 377.5]
ROI_3_56        , 	515.009		, 	85.3756		, 	1.94871	,	[353, 375]
ROI_3_80        , 	625.302		, 	175.882		, 	1.13088	,	[532.924, 327.101]
ROI_3_120       , 	426.106		, 	45.6453		, 	1.24996	,	[347.682, 246.341]
ROI_3_135       , 	660.529		, 	 289.45		, 	1.14313	,	[632.619, 189.979]
ROI_3_162       , 	507.656		, 	222.392		, 	2.70113	,	[495.026, 112.531]
ROI_3_178       , 	616.129		, 	338.947		, 	1.59826	,	[612.88, 63.1933]

ROI_4_0         , 	591.359		, 	334.714		, 	1.72083	,	[171.541, 565.932]
ROI_4_6         , 	 556.35		, 	372.807		, 	8.97599	,	[92.4753, 548.611]
ROI_4_16        , 	545.967		, 	295.831		, 	3.58583	,	[172.5, 518]
ROI_4_30        , 	816.629		, 	356.194		, 	4.6233	,	[670.93, 465.549]
ROI_4_32        , 	721.715		, 	258.701		, 	1.69232	,	[558.958, 456.55]
ROI_4_33        , 	738.573		, 	275.652		, 	1.13428	,	[582.568, 453.986]
ROI_4_54        , 	682.438		, 	224.844		, 	1.25714	,	[567.405, 379.173]
ROI_4_99        , 	744.847		, 	336.254		, 	1.25544	,	[696.289, 264.537]
ROI_4_101       , 	607.986		, 	191.464		, 	1.5353	,	[549.969, 259.193]
ROI_4_122       , 	572.601		, 	 202.45		, 	1.8809	,	[538.938, 193.438]
ROI_4_146       , 	 166.68		, 	 305.58		, 	1.54919	,	[97.5652, 135.141]
ROI_4_153       , 	671.563		, 	352.386		, 	1.4882	,	[662.806, 108.097]
ROI_4_157       , 	141.086		, 	323.325		, 	1.37758	,	[99.0539, 100.466]
ROI_4_165       , 	99.9725		, 	363.526		, 	1.35139	,	[82.8825, 55.9016]

ROI_5_7         , 	897.067		, 	434.222		, 	2.68997	,	[711, 547]
ROI_5_8         , 	 610.74		, 	266.739		, 	1.11088	,	[278.363, 543.615]
ROI_5_10        , 	541.959		, 	371.427		, 	9.14995	,	[82.413, 535.656]
ROI_5_13        , 	 566.75		, 	 292.77		, 	1.24762	,	[195.937, 531.803]
ROI_5_30        , 	817.881		, 	356.327		, 	1.76572	,	[663.919, 477.64]
ROI_5_33        , 	 721.17		, 	258.431		, 	1.50889	,	[552.101, 463.973]
ROI_5_34        , 	738.474		, 	275.418		, 	1.34897	,	[576.014, 462.117]
ROI_5_51        , 	683.761		, 	224.778		, 	1.44278	,	[563.927, 386.672]
ROI_5_96        , 	750.617		, 	 336.55		, 	1.27238	,	[697.328, 277.775]
ROI_5_98        , 	612.019		, 	191.562		, 	1.2572	,	[551.081, 266.227]
ROI_5_119       , 	578.762		, 	202.804		, 	1.99389	,	[542.95, 200.425]
ROI_5_149       , 	 681.89		, 	353.366		, 	1.92074	,	[671.134, 120.635]
ROI_5_157       , 	138.534		, 	 324.53		, 	1.4129	,	[107.228, 87.7148]
