ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_1_6         , 	588.621		, 	271.875		, 	1.68642	,	[244.273, 535.542]
ROI_1_8         , 	831.921		, 	 369.01		, 	1.90245	,	[639.773, 531.773]
ROI_1_38        , 	437.828		, 	373.511		, 	1.30255	,	[17.8309, 437.464]
ROI_1_40        , 	733.552		, 	271.937		, 	2.7517	,	[593.256, 431.446]
ROI_1_41        , 	759.064		, 	299.714		, 	4.30875	,	[627.557, 427.025]
ROI_1_98        , 	739.767		, 	326.702		, 	5.40353	,	[687.292, 273.651]
ROI_1_120       , 	404.437		, 	107.895		, 	1.69954	,	[361.119, 182.106]
ROI_1_129       , 	412.715		, 	134.346		, 	2.04266	,	[381.587, 157.241]
ROI_1_133       , 	 212.19		, 	252.566		, 	2.12161	,	[152.316, 147.731]
ROI_1_134       , 	574.037		, 	    249		, 	1.75443	,	[557.449, 137]
ROI_1_138       , 	  301.3		, 	206.349		, 	1.85487	,	[284.842, 98.2192]

ROI_2_8         , 	538.172		, 	216.055		, 	2.07953	,	[251.088, 476.009]
ROI_2_9         , 	702.518		, 	241.122		, 	3.20488	,	[525.229, 466.547]
ROI_2_11        , 	804.941		, 	345.758		, 	1.24324	,	[667.867, 449.315]
ROI_2_17        , 	597.973		, 	147.629		, 	1.31131	,	[420.575, 425.075]
ROI_2_20        , 	425.277		, 	329.426		, 	1.34535	,	[58.8233, 421.189]
ROI_2_25        , 	408.723		, 	367.149		, 	1.30797	,	[13.5, 408.5]
ROI_2_27        , 	499.319		, 	136.603		, 	1.49192	,	[289.826, 406.596]
ROI_2_28        , 	589.737		, 	130.606		, 	1.46781	,	[436.462, 396.599]
ROI_2_29        , 	755.014		, 	301.704		, 	2.83549	,	[644.445, 393.366]
ROI_2_32        , 	375.873		, 	270.768		, 	3.96277	,	[100.066, 362.308]
ROI_2_35        , 	624.468		, 	172.531		, 	2.09056	,	[527.957, 333.5]
ROI_2_40        , 	464.091		, 	17.5658		, 	1.23123	,	[350.556, 304.123]
ROI_2_42        , 	579.481		, 	139.003		, 	1.83672	,	[499.972, 292.961]
ROI_2_43        , 	552.833		, 	107.907		, 	1.51997	,	[468.868, 292.894]
ROI_2_47        , 	514.307		, 	67.2052		, 	1.34393	,	[428.029, 285.136]
ROI_2_67        , 	396.867		, 	91.1063		, 	1.48573	,	[342.301, 200.833]
ROI_2_68        , 	243.371		, 	 241.95		, 	3.818	,	[135.578, 202.109]
ROI_2_73        , 	254.694		, 	 216.07		, 	3.85831	,	[169.332, 190.252]
ROI_2_99        , 	491.295		, 	274.971		, 	2.09475	,	[489.073, 46.6757]
ROI_2_100       , 	46.9044		, 	 424.69		, 	6.70854	,	[14.3469, 44.6563]
ROI_2_103       , 	497.092		, 	294.184		, 	2.68031	,	[496.259, 28.7545]
